"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Bühler";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1014;574;56.6;568;199;369;35.0
"......Gais";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2211;1316;59.5;1307;441;866;33.7
"......Speicher";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3081;1855;60.2;1842;554;1288;30.1
"......Teufen (AR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4541;2660;58.6;2647;679;1968;25.7
"......Trogen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1290;756;58.6;751;303;448;40.3
">> Bezirk Vorderland";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9392;5241;55.8;5208;1858;3350;35.7
"......Grub (AR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";735;402;54.7;396;158;238;39.9
"......Heiden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2719;1457;53.6;1447;469;978;32.4
"......Lutzenberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";891;470;52.7;468;134;334;28.6
"......Rehetobel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1287;781;60.7;776;308;468;39.7
"......Reute (AR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";494;306;61.9;304;130;174;42.8
"......Wald (AR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";632;429;67.9;427;175;252;41.0
"......Walzenhausen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1397;691;49.5;688;237;451;34.4
"......Wolfhalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1237;705;57.0;702;247;455;35.2
"......AR-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Appenzell Innerrhoden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11429;5451;47.7;5312;1482;3830;27.9
">> Kanton Appenzell Innerrhoden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11131;5359;48.1;5224;1429;3795;27.4
"......Appenzell";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3814;1735;45.5;1693;476;1217;28.1
"......Gonten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1084;501;46.2;501;153;348;30.5
"......Rüte";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2459;1255;51.0;1209;295;914;24.4
"......Schlatt-Haslen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";868;368;42.4;361;121;240;33.5
"......Schwende";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1477;684;46.3;660;159;501;24.1
"......Oberegg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1429;816;57.1;800;225;575;28.1
"......AI-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";298;92;30.9;88;53;35;60.2
"- St. Gallen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";314713;163710;52.0;162678;51665;111013;31.8
">> Wahlkreis St. Gallen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";75836;39736;52.4;39382;13061;26321;33.2
"......Häggenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";846;485;57.3;485;128;357;26.4
"......Muolen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";830;439;52.9;438;125;313;28.5
"......St. Gallen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";45154;23040;51.0;22783;8578;14205;37.7
"......Wittenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6089;3102;50.9;3080;908;2172;29.5
"......Eggersriet";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1612;944;58.6;940;264;676;28.1
"......Andwil (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1340;735;54.9;732;161;571;22.0
"......Gaiserwald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5582;3190;57.1;3170;818;2352;25.8
"......Gossau (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";12015;6452;53.7;6411;1716;4695;26.8
"......Waldkirch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2368;1349;57.0;1343;363;980;27.0
">> Wahlkreis Rorschach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25286;13610;53.8;13539;4059;9480;30.0
"......Berg (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";612;368;60.1;367;111;256;30.2
"......Goldach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5897;3149;53.4;3137;913;2224;29.1
"......Mörschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2559;1666;65.1;1657;378;1279;22.8
"......Rorschach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4135;1866;45.1;1851;702;1149;37.9
"......Rorschacherberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4263;2333;54.7;2324;728;1596;31.3
"......Steinach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2183;1118;51.2;1112;323;789;29.0
"......Tübach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";894;528;59.1;522;135;387;25.9
"......Untereggen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";725;388;53.5;386;124;262;32.1
"......Thal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4018;2194;54.6;2183;645;1538;29.5
">> Wahlkreis Rheintal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";41103;20909;50.9;20818;6259;14559;30.1
"......Au (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3810;1898;49.8;1894;562;1332;29.7
"......Balgach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2816;1522;54.0;1516;390;1126;25.7
"......Berneck";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2536;1409;55.6;1404;408;996;29.1
"......Diepoldsau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3639;1800;49.5;1786;531;1255;29.7
"......Rheineck";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1781;934;52.4;931;272;659;29.2
"......St. Margrethen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2601;1300;50.0;1288;377;911;29.3
"......Widnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5211;2599;49.9;2592;755;1837;29.1
"......Altstätten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6848;3275;47.8;3265;1082;2183;33.1
"......Eichberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";972;497;51.1;495;148;347;29.9
"......Marbach (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1339;720;53.8;718;240;478;33.4
"......Oberriet (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5708;2972;52.1;2960;888;2072;30.0
"......Rebstein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2470;1273;51.5;1261;377;884;29.9
"......Rüthi (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1372;710;51.7;708;229;479;32.3
">> Wahlkreis Werdenberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";21587;11001;51.0;10940;4052;6888;37.0
"......Buchs (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6475;3196;49.4;3186;1235;1951;38.8
"......Gams";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2010;1044;51.9;1039;379;660;36.5
"......Grabs";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4542;2443;53.8;2431;921;1510;37.9
"......Sennwald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3033;1498;49.4;1487;533;954;35.8
"......Sevelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2516;1281;50.9;1270;428;842;33.7
"......Wartau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3011;1539;51.1;1527;556;971;36.4
">> Wahlkreis Sarganserland";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25614;13325;52.0;13254;4463;8791;33.7
"......Bad Ragaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3430;1788;52.1;1781;510;1271;28.6
"......Flums";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3062;1468;47.9;1456;512;944;35.2
"......Mels";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5736;2925;51.0;2910;991;1919;34.1
"......Pfäfers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1074;552;51.4;547;191;356;34.9
"......Quarten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1941;1033;53.2;1031;342;689;33.2
"......Sargans";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3764;1962;52.1;1948;715;1233;36.7
"......Vilters-Wangs";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3067;1659;54.1;1653;572;1081;34.6
"......Walenstadt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3540;1938;54.7;1928;630;1298;32.7
">> Wahlkreis See-Gaster";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";43064;22635;52.6;22512;6816;15696;30.3
"......Amden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1327;691;52.1;682;223;459;32.7
"......Benken (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1914;968;50.6;964;298;666;30.9
"......Kaltbrunn";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2893;1379;47.7;1368;426;942;31.1
"......Schänis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2616;1244;47.6;1238;429;809;34.7
"......Weesen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1098;614;55.9;612;188;424;30.7
"......Schmerikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2168;1109;51.2;1102;338;764;30.7
"......Uznach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3642;1886;51.8;1878;569;1309;30.3
"......Rapperswil-Jona";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";17928;9915;55.3;9860;2934;6926;29.8
"......Gommiswald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3508;1755;50.0;1747;517;1230;29.6
"......Eschenbach (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5970;3074;51.5;3061;894;2167;29.2
">> Wahlkreis Toggenburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";30261;15495;51.2;15394;4855;10539;31.5
"......Ebnat-Kappel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3441;1895;55.1;1884;646;1238;34.3
"......Wildhaus-Alt St. Johann";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1838;969;52.7;960;320;640;33.3
"......Nesslau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2672;1361;50.9;1355;444;911;32.8
"......Hemberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";663;335;50.5;332;115;217;34.6
"......Lichtensteig";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1309;662;50.6;659;214;445;32.5
"......Oberhelfenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";943;486;51.5;484;168;316;34.7
"......Neckertal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2940;1540;52.4;1528;511;1017;33.4
"......Wattwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5342;2698;50.5;2678;876;1802;32.7
"......Kirchberg (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4930;2572;52.2;2553;722;1831;28.3
"......Lütisburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";990;515;52.0;510;156;354;30.6
"......Mosnang";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2058;919;44.7;916;254;662;27.7
"......Bütschwil-Ganterschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3135;1543;49.2;1535;429;1106;27.9
">> Wahlkreis Wil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";45943;24339;53.0;24198;6996;17202;28.9
"......Degersheim";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2515;1339;53.2;1335;426;909;31.9
"......Flawil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5911;2963;50.1;2945;916;2029;31.1
"......Jonschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2534;1344;53.0;1334;349;985;26.2
"......Oberuzwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4040;2137;52.9;2125;636;1489;29.9
"......Uzwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7446;3710;49.8;3687;1122;2565;30.4
"......Niederbüren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1017;517;50.8;513;120;393;23.4
"......Niederhelfenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2038;1088;53.4;1078;270;808;25.0
"......Oberbüren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2912;1594;54.7;1587;407;1180;25.6
"......Zuzwil (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3315;1868;56.3;1862;439;1423;23.6
"......Wil (SG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";14215;7779;54.7;7732;2311;5421;29.9
"......SG-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6019;2660;44.2;2641;1104;1537;41.8
"- Graubünden / Grigioni / Grischun";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";136139;68109;50.0;66883;20637;46246;30.9
">> Region Albula";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5859;2784;47.5;2749;767;1982;27.9
"......Vaz/Obervaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1797;847;47.1;843;205;638;24.3
"......Lantsch/Lenz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";378;165;43.7;162;28;134;17.3
"......Schmitten (GR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";204;100;49.0;100;41;59;41.0
"......Albula/Alvra";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1022;481;47.1;471;155;316;32.9
"......Surses";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1792;827;46.1;812;225;587;27.7
"......Bergün Filisur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";666;364;54.7;361;113;248;31.3
">> Region Bernina";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3713;1836;49.4;1822;612;1210;33.6
"......Brusio";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";907;383;42.2;380;147;233;38.7
"......Poschiavo";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2806;1453;51.8;1442;465;977;32.2
">> Region Engiadina Bassa / Val Müstair";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6807;3130;46.0;3092;1087;2005;35.2
"......Zernez";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1102;578;52.5;572;173;399;30.2
"......Samnaun";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";528;223;42.2;220;78;142;35.5
"......Scuol";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3190;1529;47.9;1508;562;946;37.3
"......Valsot";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";717;239;33.3;235;92;143;39.1
"......Val Müstair";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1270;561;44.2;557;182;375;32.7
">> Region Imboden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";12984;6809;52.4;6713;1789;4924;26.6
"......Bonaduz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2117;1097;51.8;1078;278;800;25.8
"......Domat/Ems";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4715;2497;53.0;2462;699;1763;28.4
"......Rhäzüns";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";870;401;46.1;398;123;275;30.9
"......Felsberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1683;905;53.8;894;234;660;26.2
"......Flims";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1804;947;52.5;935;134;801;14.3
"......Tamins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";890;465;52.2;460;150;310;32.6
"......Trin";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";905;497;54.9;486;171;315;35.2
">> Region Landquart";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";16888;8379;49.6;8239;2513;5726;30.5
"......Trimmis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2256;1128;50.0;1103;315;788;28.6
"......Untervaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1690;775;45.9;769;236;533;30.7
"......Zizers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2280;1000;43.9;992;265;727;26.7
"......Fläsch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";521;271;52.0;266;89;177;33.5
"......Jenins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";657;385;58.6;379;114;265;30.1
"......Maienfeld";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2017;1088;53.9;1077;253;824;23.5
"......Malans";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1710;994;58.1;978;294;684;30.1
"......Landquart";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5757;2738;47.6;2675;947;1728;35.4
">> Region Maloja";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11194;6078;54.3;5975;1488;4487;24.9
"......Bever";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";458;257;56.1;256;83;173;32.4
"......Celerina/Schlarigna";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";843;435;51.6;431;94;337;21.8
"......Madulain";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";135;81;60.0;79;33;46;41.8
"......Pontresina";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1196;614;51.3;611;128;483;20.9
"......La Punt-Chamues-ch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";477;218;45.7;217;61;156;28.1
"......Samedan";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1955;1053;53.9;1042;269;773;25.8
"......St. Moritz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2687;1693;63.0;1647;357;1290;21.7
"......S-chanf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";518;246;47.5;242;80;162;33.1
"......Sils im Engadin/Segl";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";424;216;50.9;216;59;157;27.3
"......Silvaplana";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";611;274;44.8;258;40;218;15.5
"......Zuoz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";679;369;54.3;368;113;255;30.7
"......Bregaglia";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1211;622;51.4;608;171;437;28.1
">> Region Moesa";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5730;3106;54.2;2991;1628;1363;54.4
"......Buseno";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";77;40;51.9;40;14;26;35.0
"......Castaneda";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";208;124;59.6;121;62;59;51.2
"......Rossa";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";130;71;54.6;71;41;30;57.7
"......Santa Maria in Calanca";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";95;52;54.7;47;32;15;68.1
"......Lostallo";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";519;274;52.8;267;138;129;51.7
"......Mesocco";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";914;412;45.1;405;218;187;53.8
"......Soazza";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";269;145;53.9;142;58;84;40.8
"......Cama";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";368;158;42.9;144;76;68;52.8
"......Grono";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";805;446;55.4;431;243;188;56.4
"......Roveredo (GR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1619;1028;63.5;978;568;410;58.1
"......San Vittore";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";529;261;49.3;254;137;117;53.9
"......Calanca";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";197;95;48.2;91;41;50;45.1
">> Region Plessur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";29264;14605;49.9;14243;4584;9659;32.2
"......Chur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";24231;12127;50.0;11816;3883;7933;32.9
"......Churwalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1385;682;49.2;663;203;460;30.6
"......Arosa";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2248;1162;51.7;1138;303;835;26.6
"......Maladers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";429;181;42.2;179;58;121;32.4
"......Tschiertschen-Praden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";258;99;38.4;98;23;75;23.5
"......Haldenstein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";713;354;49.6;349;114;235;32.7
">> Region Prättigau / Davos";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";17904;8875;49.6;8716;2600;6116;29.8
"......Davos";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7125;3636;51.0;3568;1016;2552;28.5
"......Fideris";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";461;198;43.0;198;79;119;39.9
"......Furna";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";141;62;44.0;62;14;48;22.6
"......Jenaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";854;412;48.2;406;105;301;25.9
"......Klosters-Serneus";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3181;1665;52.3;1622;444;1178;27.4
"......Conters im Prättigau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";168;77;45.8;75;34;41;45.3
"......Küblis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";564;246;43.6;241;72;169;29.9
"......Luzein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1179;572;48.5;568;183;385;32.2
"......Grüsch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1413;736;52.1;726;202;524;27.8
"......Schiers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1800;841;46.7;825;300;525;36.4
"......Seewis im Prättigau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1018;430;42.2;425;151;274;35.5
">> Region Surselva";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";16412;7829;47.7;7729;2064;5665;26.7
"......Falera";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";445;266;59.8;265;45;220;17.0
"......Laax";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1049;541;51.6;535;102;433;19.1
"......Sagogn";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";511;262;51.3;260;79;181;30.4
"......Schluein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";391;158;40.4;158;33;125;20.9
"......Vals";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";762;347;45.5;344;84;260;24.4
"......Lumnezia";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1795;728;40.6;720;157;563;21.8
"......Ilanz/Glion";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3378;1581;46.8;1554;442;1112;28.4
"......Safiental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";726;355;48.9;347;112;235;32.3
"......Breil/Brigels";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1467;666;45.4;658;207;451;31.5
"......Disentis/Mustér";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1582;869;54.9;856;244;612;28.5
"......Medel (Lucmagn)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";341;164;48.1;163;59;104;36.2
"......Sumvitg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1017;517;50.8;514;148;366;28.8
"......Tujetsch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1047;545;52.1;534;151;383;28.3
"......Trun";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1018;416;40.9;413;104;309;25.2
"......Obersaxen Mundaun";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";883;414;46.9;408;97;311;23.8
">> Region Viamala";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9384;4678;49.9;4614;1505;3109;32.6
"......Fürstenau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";268;139;51.9;139;40;99;28.8
"......Rothenbrunnen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";221;113;51.1;108;41;67;38.0
"......Scharans";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";657;363;55.3;358;130;228;36.3
"......Sils im Domleschg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";629;311;49.4;310;102;208;32.9
"......Cazis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1506;634;42.1;627;225;402;35.9
"......Flerden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";159;87;54.7;85;29;56;34.1
"......Masein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";349;200;57.3;195;76;119;39.0
"......Thusis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1796;798;44.4;778;236;542;30.3
"......Tschappina";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";112;70;62.5;69;20;49;29.0
"......Urmein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";113;68;60.2;68;8;60;11.8
"......Domleschg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1528;811;53.1;806;311;495;38.6
"......Avers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";139;81;58.3;81;27;54;33.3
"......Hinterrhein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";51;34;66.7;34;6;28;17.6
"......Nufenen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";108;53;49.1;53;13;40;24.5
"......Splügen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";319;173;54.2;169;25;144;14.8
