"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
">> Bezirk Dielsdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";50870;25961;51.0;25793;7328;18465;28.4
"......Bachs";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";474;304;64.1;302;70;232;23.2
"......Boppelsen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";891;567;63.6;561;145;416;25.8
"......Buchs (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3793;1822;48.0;1810;481;1329;26.6
"......Dällikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2225;1096;49.3;1089;311;778;28.6
"......Dänikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1152;631;54.8;625;166;459;26.6
"......Dielsdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3517;1770;50.3;1765;561;1204;31.8
"......Hüttikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";504;298;59.1;298;50;248;16.8
"......Neerach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2263;1393;61.6;1389;251;1138;18.1
"......Niederglatt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2806;1411;50.3;1398;377;1021;27.0
"......Niederhasli";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5368;2686;50.0;2673;785;1888;29.4
"......Niederweningen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1836;1063;57.9;1058;337;721;31.9
"......Oberglatt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3351;1408;42.0;1395;496;899;35.6
"......Oberweningen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1116;633;56.7;631;165;466;26.1
"......Otelfingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1765;954;54.1;949;259;690;27.3
"......Regensberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";318;204;64.2;204;48;156;23.5
"......Regensdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9386;4544;48.4;4509;1425;3084;31.6
"......Rümlang";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4212;1996;47.4;1979;559;1420;28.2
"......Schleinikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";527;309;58.6;307;92;215;30.0
"......Schöfflisdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";958;593;61.9;591;160;431;27.1
"......Stadel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1465;747;51.0;738;188;550;25.5
"......Steinmaur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2184;1134;51.9;1127;281;846;24.9
"......Weiach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";759;398;52.4;395;121;274;30.6
">> Bezirk Hinwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";60651;32739;54.0;32485;10504;21981;32.3
"......Bäretswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3600;2085;57.9;2068;629;1439;30.4
