Gemeinde;Ja Stimmen;Nein Stimmen;Ja-Anteil (%);Stimmberechtigte;Eingelegte Stimmzettel;Stimmbeteiligung (%)
Wallisellen;1284;3305;27.98;8760;4651;53.09
Waltalingen;118;205;36.53;521;326;62.57
Wangen-Brüttisellen;616;1701;26.59;4512;2330;51.64
Wasterkingen;74;176;29.6;427;259;60.66
Weiach;121;274;30.63;759;401;52.83
Weiningen;384;978;28.19;2627;1392;52.99
Weisslingen;375;1050;26.32;2321;1442;62.13
Wettswil a.A.;454;1620;21.89;3248;2092;64.41
Wetzikon;2472;4715;34.4;14819;7332;49.48
Wiesendangen;598;1693;26.1;3624;2304;63.58
Wil;172;411;29.5;994;593;59.66
Wila;248;525;32.08;1394;780;55.95
Wildberg;116;360;24.37;731;480;65.66
Winkel;380;1427;21.03;3023;1843;60.97
Zell;664;1176;36.09;3632;1878;51.71
Zollikon;1098;4095;21.14;8258;5284;63.99
Zumikon;341;1883;15.33;3340;2266;67.84
