title_de_CH,date,shortcode,domain,status,type,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Lichtensteig,3374,True,214,445,0,3,1309
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Lütisburg,3393,True,156,354,0,5,990
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Mosnang,3394,True,254,662,0,3,2058
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Neckertal,3378,True,511,1017,0,12,2940
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Nesslau,3360,True,444,911,0,6,2672
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Oberhelfenschwil,3375,True,168,316,0,2,943
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Wattwil,3379,True,876,1802,0,20,5342
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Wildhaus-Alt St. Johann,3359,True,320,640,0,9,1838
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Buchs (SG),3271,True,1235,1951,0,10,6475
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Gams,3272,True,379,660,0,5,2010
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Grabs,3273,True,921,1510,0,12,4542
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Sennwald,3274,True,533,954,0,11,3033
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Sevelen,3275,True,428,842,0,11,2516
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Wartau,3276,True,556,971,0,12,3011
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Degersheim,3401,True,426,909,0,4,2515
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Flawil,3402,True,916,2029,0,18,5911
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Jonschwil,3405,True,349,985,0,10,2534
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Niederbüren,3422,True,120,393,0,4,1017
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Niederhelfenschwil,3423,True,270,808,0,10,2038
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Oberbüren,3424,True,407,1180,0,7,2912
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Oberuzwil,3407,True,636,1489,1,11,4040
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Uzwil,3408,True,1122,2565,0,23,7446
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Wil (SG),3427,True,2311,5421,1,46,14215
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Zuzwil (SG),3426,True,439,1423,0,6,3315
