Eidgenössische Volksabstimmung vom  24.11.2013;;;;;;;;;;
Votation populaire fédérale du  24.11.2013;;;;;;;;;;
;;;;;;;;;;
Volksinitiative «1:12 - Für gerechte Löhne» / Initiative populaire «1:12 - Pour des salaires équitables»;;;;;;;;;;
Kanton Bern / Canton de Berne;;;;;;;;;;
;;;;;Stimmzettel / Bulletins;;;;;
Verwaltungskreis;Anzahl Stimmber.;AuslandschweizerInnen;Eingelangte Ausweiskarten;Stimmb.;Eingelangte;Ausser Betracht fallende / non valables;;in Betracht fallende;Ja;Nein
Arrondissement administratif;No. d'?lec.;Suisses de l'?tranger;Nombre de cartes de l?g. rentr?es;Part.;rentr?s ;leer / blancs ;ung?ltig / nuls ;valables;Oui;Non
;;;;;;;;;;
Abstimmungskreis;Anzahl Stimmber.;AuslandschweizerInnen;Eingelangte Ausweiskarten;Stimmb.;Eingelangte;Ausser Betracht fallende / non valables;;in Betracht fallende;Ja;Nein
Circ. Politique;No. d'?lec.;Suisses de l'?tranger;Nombre de cartes de l?g. rentr?es;Part.;rentr?s ;leer / blancs ;ung?ltig / nuls ;valables;Oui;Non
;;;;;;;;;;
Belprahon;246;2;223;90.65%;223;1;1;221;64;157
Bévilard;1187;17;925;77.51%;920;6;0;914;195;719
Champoz;126;3;113;89.68%;113;1;0;112;31;81
Châtelat;79;6;65;82.28%;65;0;0;65;20;45
Corcelles;170;3;148;85.88%;146;4;1;141;37;104
Corgémont;1111;8;882;78.40%;871;7;1;863;217;646
Cormoret;372;9;286;75.54%;281;6;0;275;91;184
Cortébert;503;2;359;70.38%;354;4;5;345;75;270
Court;1026;12;817;77.68%;797;8;0;789;170;619
Courtelary;875;9;693;78.17%;684;8;6;670;183;487
Crémines;405;8;317;77.53%;314;6;0;308;77;231
Diesse;318;8;226;70.75%;225;1;0;224;65;159
Eschert;256;2;205;79.69%;204;2;0;202;48;154
Grandval;281;3;237;82.56%;232;7;3;222;65;157
La Ferrière;406;10;287;70.20%;285;4;4;277;109;168
La Heutte;363;6;265;73.00%;265;4;0;261;64;197
Lamboing;526;10;373;70.34%;370;7;0;363;78;285
La Neuveville;2575;53;1801;69.36%;1786;21;15;1750;572;1178
Loveresse;240;3;188;77.50%;186;1;0;185;39;146
Malleray;1305;20;1006;75.86%;990;10;1;979;239;740
Monible;30;3;25;83.33%;25;0;0;25;12;13
Mont-Tramelan;110;21;87;79.09%;87;1;1;85;33;52
Moutier;4757;80;3702;76.88%;3657;72;4;3581;994;2587
Nods;558;12;404;72.22%;403;7;4;392;102;290
Orvin;892;13;676;75.34%;672;9;8;655;141;514
Perrefitte;319;2;276;84.64%;270;4;0;266;58;208
Péry;954;11;676;70.65%;674;13;0;661;160;501
Plagne;295;4;218;72.20%;213;1;1;211;58;153
Pontenet;152;2;130;82.89%;126;2;0;124;28;96
Prêles;666;13;477;71.32%;475;5;2;468;137;331
Rebévelier;35;3;34;97.14%;34;0;0;34;11;23
Reconvilier;1491;6;1147;75.59%;1127;17;0;1110;250;860
Renan ;666;28;479;71.32%;475;6;1;468;169;299
Roches;167;0;135;80.24%;134;1;0;133;36;97
Romont ;154;7;106;67.53%;104;3;0;101;22;79
Saicourt;456;12;340;74.12%;338;5;2;331;71;260
Saint-Imier;2970;45;1930;64.48%;1915;22;4;1889;574;1315
Saules ;122;5;108;86.89%;106;2;0;104;21;83
Schelten;53;24;26;49.06%;26;0;5;21;7;14
Seehof;63;9;41;65.08%;41;0;0;41;6;35
Sonceboz-Sombeval;1206;8;881;69.40%;837;13;0;824;205;619
