commune,vote_yes,vote_no,turnout_perc,canton,canton_name,bfsnr,n_taxed,mean_income,median_income,gini-coeff,percent_yes
Givisiez,336,530,52.14,FR,Fribourg / Freiburg,2197,1749,47792.613084226,45900,0.374576639554157,0.387990762124711
Montet (Glâne),52,82,53.94,FR,Fribourg / Freiburg,2089,209,46575.7521319722,46400,0.337336896220953,0.388059701492537
Saint-Cergue,256,403,53.04,VD,Vaud,5727,1590,47785.0878363395,38750,0.484519769585262,0.388467374810319
Le Landeron,641,1009,56,NE,Neuchâtel,6455,2709,45527.5557401305,40238.0952380952,0.444417444348322,0.388484848484848
Wiler bei Utzenstorf,124,195,49.54,BE,Bern / Berne,554,523,41549.1741315833,39900,0.32267901027473,0.38871473354232
Puplinge,290,456,56.4,GE,Genève,6636,1218,59573.258954981,53145.8333333333,0.446429298923788,0.388739946380697
Beatenberg,175,275,53.1,BE,Bern / Berne,571,1117,24230.0091830978,17500,0.556521211706976,0.388888888888889
Corbeyrier,70,110,62.8,VD,Vaud,5404,271,38171.1555357312,34800,0.395425411815752,0.388888888888889
Dägerlen,168,264,61.44,ZH,Zürich,214,529,50845.9077462572,48733.3333333333,0.351234251369139,0.388888888888889
Vergeletto,14,22,60.32,TI,Ticino,5132,57,29512.4006597691,26300,0.380919183643461,0.388888888888889
Biberist,1016,1596,49.2,SO,Solothurn,2513,5270,42949.0489279059,42000,0.361880650465679,0.388973966309342
La Heutte,100,157,73,BE,Bern / Berne,436,303,38618.7790558665,38333.3333333333,0.36568745749734,0.389105058365759
Leysin,258,405,53.99,VD,Vaud,5407,1949,32112.088010593,24800,0.514188176975967,0.389140271493213
Villars-sur-Glâne,1385,2172,56.46,FR,Fribourg / Freiburg,2228,6619,49263.774000737,43800,0.424616619417977,0.389373067191453
Bercher,164,257,57.72,VD,Vaud,5512,618,46103.8264918652,43183.3333333333,0.387481651205408,0.389548693586698
Ernen,83,130,50.23,VS,Valais / Wallis,6056,574,22508.9714220159,13150,0.560876931264634,0.389671361502347
Masein,76,119,57.31,GR,Graubünden / Grigioni / Grisch,3663,254,40849.4584200086,40066.6666666667,0.316943192769786,0.38974358974359
Bellwald,69,108,60.54,VS,Valais / Wallis,6052,602,17140.9605629487,5700,0.615929842178233,0.389830508474576
Corcelles-sur-Chavornay,55,86,60.68,VD,Vaud,5751,199,44910.2764790579,42142.8571428571,0.397279513933185,0.390070921985816
Lütschental,32,50,41.5,BE,Bern / Berne,586,155,33586.2116467761,34200,0.340083132280535,0.390243902439024
Rohrbach,203,317,46.29,BE,Bern / Berne,338,881,36109.0900360898,35500,0.348248765769197,0.390384615384615
Ependes (FR),171,267,58.28,FR,Fribourg / Freiburg,2189,633,42703.3459366574,39600,0.422561889468846,0.39041095890411
Orbe,690,1077,50.01,VD,Vaud,5757,3697,44060.6307308942,41333.3333333333,0.369095042804221,0.390492359932088
Kleinlützel,207,323,55.1,SO,Solothurn,2619,801,38955.1715396802,36300,0.389088533977831,0.390566037735849
Riggisberg,343,535,47.12,BE,Bern / Berne,879,1543,40488.1282849578,37800,0.393525482167791,0.390660592255125
Schmitten (FR),610,950,55.5,FR,Fribourg / Freiburg,2305,2326,44586.9305723378,42252.380952381,0.359666839752137,0.391025641025641
Bonvillars,88,137,62.81,VD,Vaud,5551,293,52039.6577884722,44133.3333333333,0.412926611197986,0.391111111111111
Courchavon,63,98,74.21,JU,Jura,6783,181,40965.6542901382,34900,0.433098287613519,0.391304347826087
Burgdorf,2185,3397,49.62,BE,Bern / Berne,404,10325,40852.3566337518,39100,0.396253413555239,0.391436761017556
Valsot,92,143,33.33,GR,Graubünden / Grigioni / Grisch,3764,530,38190.4255856689,35918.75,0.370755968018336,0.391489361702128
Gravesano,172,267,53.54,TI,Ticino,5187,767,51327.6079243004,43600,0.441360278422632,0.391799544419134
Plasselb,158,245,53.91,FR,Fribourg / Freiburg,2300,635,40543.4414081337,40111.1111111111,0.349063189253888,0.392059553349876
Niederönz,259,401,57.96,BE,Bern / Berne,982,971,41957.8894069435,41291.6666666667,0.342390464236695,0.392424242424242
